GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,InvalidEntityException,15,0,0,0,6,0,2,0,2,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyMeta,90,153,23,13,18,39,18,28,3,25
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyMetaFactory,573,346,48,60,123,79,34,30,1,9
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,EntityMeta,62,163,10,26,12,40,17,19,7,11
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,ColumnMeta,0,9,0,0,0,3,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,TableMeta,0,11,0,0,0,2,0,2,0,2
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyValueInvoker,205,67,26,12,47,20,21,5,2,5
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,EntityMetaFactory,226,344,29,31,57,81,26,28,3,21
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.config,SqlMapperConfigurationSupport,0,235,0,0,0,54,0,18,0,18
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SelectClause,9,44,1,3,2,13,2,6,1,5
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,IllegalOperateException,4,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,FromClause,42,60,5,2,11,18,6,5,2,5
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,JoinType,0,24,0,0,0,3,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,IllegalQueryException,4,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SelectForUpdateType,34,0,0,0,4,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,WhereClause,45,37,3,1,9,10,5,4,3,4
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,OrderByClause,4,29,0,2,1,8,1,4,1,3
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,TableNameResolver,24,79,3,1,3,14,3,8,1,8
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,InsertClause,92,0,2,0,18,0,6,0,5,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SetClause,48,0,2,0,12,0,6,0,5,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchUpdateEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,AbstractEntityBatchEvent,10,0,0,0,4,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostDeleteEvent,0,6,0,0,0,2,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchInsertEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchDeleteEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchUpdateEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchInsertEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchDeleteEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreUpdateEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreDeleteEvent,0,6,0,0,0,2,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostSelectEvent,0,6,0,0,0,2,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreInsertEvent,0,6,0,0,0,2,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,AbstractEntityEvent,0,10,0,0,0,4,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostInsertEvent,0,6,0,0,0,2,0,1,0,1
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostUpdateEvent,6,0,0,0,2,0,1,0,1,0
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,LocalDateType,12,26,4,2,2,9,4,4,1,4
SqlMapper/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,NumberableBooleanType,37,0,12,0,8,0,8,0,2,0
